('unencumbered', [1.0, 0.0])
('unprove', [0.0, 1.0])
('figurehead', [0.0, 1.0])
('trustingly', [1.0, 0.0])
('poorer', [0.0, 1.0])
('incommensurate', [0.0, 1.0])
('counter-productive', [0.0, 1.0])
('smoldering', [0.0, 1.0])
('abruptly', [0.0, 1.0])
('improved', [1.0, 0.0])
('adorer', [1.0, 0.0])
('offending', [0.0, 1.0])
('adored', [1.0, 0.0])
('improves', [1.0, 0.0])
('scams', [0.0, 1.0])
('disgustfully', [0.0, 1.0])
('upgraded', [1.0, 0.0])
('ambitiously', [1.0, 0.0])
('panicking', [0.0, 1.0])
('likes', [1.0, 0.0])
('all-around', [1.0, 0.0])
('distrusting', [0.0, 1.0])
('headaches', [0.0, 1.0])
('startling', [0.0, 1.0])
('oversimplify', [0.0, 1.0])
('rock-star', [1.0, 0.0])
('frets', [0.0, 1.0])
('reprehensive', [0.0, 1.0])
('incompatability', [0.0, 1.0])
('faithfully', [1.0, 0.0])
('whoa', [1.0, 0.0])
('screwed-up', [0.0, 1.0])
('derisiveness', [0.0, 1.0])
('dropout', [0.0, 1.0])
('enchantingly', [1.0, 0.0])
('dissension', [0.0, 1.0])
('pricey', [0.0, 1.0])
('womanizing', [0.0, 1.0])
('poised', [1.0, 0.0])
('stolen', [0.0, 1.0])
('spellbindingly', [1.0, 0.0])
('outperforms', [1.0, 0.0])
('unconvincingly', [0.0, 1.0])
('fleed', [0.0, 1.0])
('pampers', [1.0, 0.0])
('reliably', [1.0, 0.0])
('flees', [0.0, 1.0])
('fleer', [0.0, 1.0])
('virulently', [0.0, 1.0])
('perilously', [0.0, 1.0])
('drawbacks', [0.0, 1.0])
('obtrusive', [0.0, 1.0])
('flakieness', [0.0, 1.0])
('ruts', [0.0, 1.0])
('aches', [0.0, 1.0])
('lengthy', [0.0, 1.0])
('stimulates', [1.0, 0.0])
('radicalization', [0.0, 1.0])
('achey', [0.0, 1.0])
('fallacies', [0.0, 1.0])
('spade', [0.0, 1.0])
('ached', [0.0, 1.0])
('misguidance', [0.0, 1.0])
('trivially', [1.0, 0.0])
('painless', [1.0, 0.0])
('debaser', [0.0, 1.0])
('rabid', [0.0, 1.0])
('celebratory', [1.0, 0.0])
('flirty', [0.0, 1.0])
('anti-israeli', [0.0, 1.0])
('infiltrator', [0.0, 1.0])
('whores', [0.0, 1.0])
('picky', [0.0, 1.0])
('cashback', [1.0, 0.0])
('energy-efficient', [1.0, 0.0])
('inspirational', [1.0, 0.0])
('clears', [1.0, 0.0])
('appalled', [0.0, 1.0])
('grossly', [0.0, 1.0])
('discourteously', [0.0, 1.0])
('commotions', [0.0, 1.0])
('devastatingly', [0.0, 1.0])
('distracting', [0.0, 1.0])
('unrelentingly', [0.0, 1.0])
('nefariously', [0.0, 1.0])
('gems', [1.0, 0.0])
('washed-out', [0.0, 1.0])
('illusions', [0.0, 1.0])
('hated', [0.0, 1.0])
('decayed', [0.0, 1.0])
('danke', [1.0, 0.0])
('brand-new', [1.0, 0.0])
('tormented', [0.0, 1.0])
('hates', [0.0, 1.0])
('dirtbag', [0.0, 1.0])
('overthrows', [0.0, 1.0])
('complains', [0.0, 1.0])
('audibly', [1.0, 0.0])
('racists', [0.0, 1.0])
('scoldingly', [0.0, 1.0])
('testily', [0.0, 1.0])
('smudging', [0.0, 1.0])
('swankiest', [1.0, 0.0])
('beutifully', [1.0, 0.0])
('immorally', [0.0, 1.0])
('stagnate', [0.0, 1.0])
('mistrustfully', [0.0, 1.0])
('strife', [0.0, 1.0])
('neatest', [1.0, 0.0])
('sugar-coat', [0.0, 1.0])
('self-sufficient', [1.0, 0.0])
('ironical', [0.0, 1.0])
('amicably', [1.0, 0.0])
('irresistibly', [1.0, 0.0])
('depravedly', [0.0, 1.0])
('fucking', [0.0, 1.0])
('extremism', [0.0, 1.0])
('unfazed', [1.0, 0.0])
('inexcusably', [0.0, 1.0])
('euphorically', [1.0, 0.0])
('strongest', [1.0, 0.0])
('felonious', [0.0, 1.0])
('pathetically', [0.0, 1.0])
('hard-line', [0.0, 1.0])
('anti-american', [0.0, 1.0])
('dishonorablely', [0.0, 1.0])
('pale', [0.0, 1.0])
('culprit', [0.0, 1.0])
('pep', [1.0, 0.0])
('ill-mannered', [0.0, 1.0])
('bogus', [0.0, 1.0])
('trouble-free', [1.0, 0.0])
('best-performing', [1.0, 0.0])
('twinkly', [1.0, 0.0])
('dismally', [0.0, 1.0])
('two-faced', [0.0, 1.0])
('costlier', [0.0, 1.0])
('depressions', [0.0, 1.0])
('taxing', [0.0, 1.0])
('crooks', [0.0, 1.0])
('peculiarly', [0.0, 1.0])
('benefactor', [1.0, 0.0])
('obscures', [0.0, 1.0])
('refused', [0.0, 1.0])
('gracelessly', [0.0, 1.0])
('two-faces', [0.0, 1.0])
('bs', [0.0, 1.0])
('refuses', [0.0, 1.0])
('obscured', [0.0, 1.0])
('unconfirmed', [0.0, 1.0])
('ill-defined', [0.0, 1.0])
('works', [1.0, 0.0])
('wrinkles', [0.0, 1.0])
('stricken', [0.0, 1.0])
('wrinkled', [0.0, 1.0])
('bleeds', [0.0, 1.0])
('irked', [0.0, 1.0])
('miracles', [1.0, 0.0])
('panders', [0.0, 1.0])
('harassed', [0.0, 1.0])
('disturbingly', [0.0, 1.0])
('heedless', [0.0, 1.0])
('harasses', [0.0, 1.0])
('pain-free', [1.0, 0.0])
('ghosting', [0.0, 1.0])
('downhill', [0.0, 1.0])
('smells', [0.0, 1.0])
('apologists', [0.0, 1.0])
('calming', [1.0, 0.0])
('impressed', [1.0, 0.0])
('criticisms', [0.0, 1.0])
('glowingly', [1.0, 0.0])
('lone', [0.0, 1.0])
('nauseates', [0.0, 1.0])
('destains', [0.0, 1.0])
('incongruously', [0.0, 1.0])
('addicting', [0.0, 1.0])
('mishandle', [0.0, 1.0])
('oddities', [0.0, 1.0])
('excelent', [1.0, 0.0])
('tingled', [0.0, 1.0])
('fragmented', [0.0, 1.0])
('perplexing', [0.0, 1.0])
('frenzied', [0.0, 1.0])
('treasonous', [0.0, 1.0])
('graciously', [1.0, 0.0])
('relaxed', [1.0, 0.0])
('brazenness', [0.0, 1.0])
('disaffirm', [0.0, 1.0])
('well-regarded', [1.0, 0.0])
('reassurance', [1.0, 0.0])
('user-replaceable', [1.0, 0.0])
('flickers', [0.0, 1.0])
('cramping', [0.0, 1.0])
('loopholes', [0.0, 1.0])
('blockage', [0.0, 1.0])
('inhumane', [0.0, 1.0])
('slowwww', [0.0, 1.0])
('full-blown', [0.0, 1.0])
('halfhearted', [0.0, 1.0])
('autonomous', [1.0, 0.0])
('fried', [0.0, 1.0])
('scratched', [0.0, 1.0])
('worthwhile', [1.0, 0.0])
('raging', [0.0, 1.0])
('nepotism', [0.0, 1.0])
('inexpertly', [0.0, 1.0])
('beckoning', [1.0, 0.0])
('eye-catching', [1.0, 0.0])
('satisfies', [1.0, 0.0])
('dragging', [0.0, 1.0])
('denying', [0.0, 1.0])
('disappoints', [0.0, 1.0])
('sunken', [0.0, 1.0])
('objection', [0.0, 1.0])
('inequities', [0.0, 1.0])
('fears', [0.0, 1.0])
('futilely', [0.0, 1.0])
('excuses', [0.0, 1.0])
('revulsive', [0.0, 1.0])
('defrauding', [0.0, 1.0])
('irreplacible', [0.0, 1.0])
('dimmer', [0.0, 1.0])
('irreplaceable', [1.0, 0.0])
('raped', [0.0, 1.0])
('unsophisticated', [0.0, 1.0])
('overbalanced', [0.0, 1.0])
('smitten', [1.0, 0.0])
('problems', [0.0, 1.0])
('long-lasting', [1.0, 0.0])
('helping', [1.0, 0.0])
('fervently', [1.0, 0.0])
('phenomenally', [1.0, 0.0])
('hells', [0.0, 1.0])
('suffers', [0.0, 1.0])
('faultless', [1.0, 0.0])
('reasoned', [1.0, 0.0])
('naively', [0.0, 1.0])
('failures', [0.0, 1.0])
('irksomenesses', [0.0, 1.0])
('evenly', [1.0, 0.0])
('ashamed', [0.0, 1.0])
('unuseably', [0.0, 1.0])
('effigy', [0.0, 1.0])
('irretating', [0.0, 1.0])
('knotted', [0.0, 1.0])
('felicitate', [1.0, 0.0])
('helped', [1.0, 0.0])
('renown', [1.0, 0.0])
('fascinatingly', [1.0, 0.0])
('hellion', [0.0, 1.0])
('intricate', [1.0, 0.0])
('egomania', [0.0, 1.0])
('bumpping', [0.0, 1.0])
('issues', [0.0, 1.0])
('outperforming', [1.0, 0.0])
('deviously', [0.0, 1.0])
('marveled', [1.0, 0.0])
('hoodium', [0.0, 1.0])
('blindingly', [0.0, 1.0])
('loathsomely', [0.0, 1.0])
('barbarically', [0.0, 1.0])
('kaput', [0.0, 1.0])
('crueler', [0.0, 1.0])
('implausibly', [0.0, 1.0])
('confounding', [0.0, 1.0])
('drop-outs', [0.0, 1.0])
('disquieting', [0.0, 1.0])
('detested', [0.0, 1.0])
('mesmerizing', [1.0, 0.0])
('stumped', [0.0, 1.0])
('fast-paced', [1.0, 0.0])
('uncompetitive', [0.0, 1.0])
('tenuously', [0.0, 1.0])
('nourishing', [1.0, 0.0])
('damning', [0.0, 1.0])
('jaw-dropping', [1.0, 0.0])
('catastrophes', [0.0, 1.0])
('exasperatingly', [0.0, 1.0])
('rapturously', [1.0, 0.0])
('choppy', [0.0, 1.0])
('pleas', [0.0, 1.0])
('overtaxed', [0.0, 1.0])
('sturdier', [1.0, 0.0])
('lower-priced', [1.0, 0.0])
('backaches', [0.0, 1.0])
('pittance', [0.0, 1.0])
('unavailable', [0.0, 1.0])
('flaking', [0.0, 1.0])
('concessions', [0.0, 1.0])
('unhelpful', [0.0, 1.0])
('aground', [0.0, 1.0])
('self-defeating', [0.0, 1.0])
('shemale', [0.0, 1.0])
('advantageously', [1.0, 0.0])
('denunciations', [0.0, 1.0])
('sneeringly', [0.0, 1.0])
('embroilment', [0.0, 1.0])
('upsetting', [0.0, 1.0])
('uncollectible', [0.0, 1.0])
('radicals', [0.0, 1.0])
('conceited', [0.0, 1.0])
('discouragingly', [0.0, 1.0])
('polution', [0.0, 1.0])
('imperfections', [0.0, 1.0])
('commendably', [1.0, 0.0])
('notably', [1.0, 0.0])
('survivor', [1.0, 0.0])
('indiscreetly', [0.0, 1.0])
('inoperable', [0.0, 1.0])
('marvelled', [1.0, 0.0])
('slogging', [0.0, 1.0])
('deservedly', [1.0, 0.0])
('improbably', [0.0, 1.0])
('thumb-up', [1.0, 0.0])
('repugn', [0.0, 1.0])
('droops', [0.0, 1.0])
('gimmick', [0.0, 1.0])
('overzelous', [0.0, 1.0])
('desiring', [1.0, 0.0])
('absurdness', [0.0, 1.0])
('subsidizes', [1.0, 0.0])
('freedoms', [1.0, 0.0])
('belittling', [0.0, 1.0])
('well-informed', [1.0, 0.0])
('seamless', [1.0, 0.0])
('demoralizingly', [0.0, 1.0])
('anti-semites', [0.0, 1.0])
('little-known', [0.0, 1.0])
('scariest', [0.0, 1.0])
('subsidized', [1.0, 0.0])
('capriciously', [0.0, 1.0])
('simpler', [1.0, 0.0])
('beauteous', [1.0, 0.0])
('self-criticism', [0.0, 1.0])
('heartily', [1.0, 0.0])
('virulence', [0.0, 1.0])
('debaucher', [0.0, 1.0])
('tattered', [0.0, 1.0])
('eccentricity', [0.0, 1.0])
('gladly', [1.0, 0.0])
('unforgiving', [0.0, 1.0])
('rivalry', [0.0, 1.0])
('conscons', [0.0, 1.0])
('retreated', [0.0, 1.0])
('lapse', [0.0, 1.0])
('unspeakablely', [0.0, 1.0])
('feebleminded', [0.0, 1.0])
('recessionary', [0.0, 1.0])
('aweful', [0.0, 1.0])
('weaker', [0.0, 1.0])
('proprietary', [0.0, 1.0])
('bent', [0.0, 1.0])
('overpayed', [0.0, 1.0])
('dripping', [0.0, 1.0])
('water-down', [0.0, 1.0])
('beckoned', [1.0, 0.0])
('inviolate', [1.0, 0.0])
('exorbitantly', [0.0, 1.0])
('gainfully', [1.0, 0.0])
('magnificently', [1.0, 0.0])
('galls', [0.0, 1.0])
('clogs', [0.0, 1.0])
('syndrome', [0.0, 1.0])
('get-rich', [0.0, 1.0])
('struggles', [0.0, 1.0])
('unquestionably', [1.0, 0.0])
('danken', [1.0, 0.0])
('grudgingly', [0.0, 1.0])
('villainously', [0.0, 1.0])
('pales', [0.0, 1.0])
('rantingly', [0.0, 1.0])
('fine-looking', [1.0, 0.0])
('puppets', [0.0, 1.0])
('detests', [0.0, 1.0])
('invincibility', [1.0, 0.0])
('upgradable', [1.0, 0.0])
('throbs', [0.0, 1.0])
('pigs', [0.0, 1.0])
('unnaturally', [0.0, 1.0])
('cheaper', [1.0, 0.0])
('flagrantly', [0.0, 1.0])
('solidarity', [1.0, 0.0])
('efficiently', [1.0, 0.0])
('advocated', [1.0, 0.0])
('noises', [0.0, 1.0])
('regally', [1.0, 0.0])
('wrip', [0.0, 1.0])
('advocates', [1.0, 0.0])
('presumptuously', [0.0, 1.0])
('well-managed', [1.0, 0.0])
('disrespecting', [0.0, 1.0])
('fastest', [1.0, 0.0])
('feeblely', [0.0, 1.0])
('contaminates', [0.0, 1.0])
('ricer', [0.0, 1.0])
('unjustified', [0.0, 1.0])
('less-developed', [0.0, 1.0])
('flattering', [1.0, 0.0])
('faithfulness', [1.0, 0.0])
('hotcakes', [1.0, 0.0])
('contaminated', [0.0, 1.0])
('dismaying', [0.0, 1.0])
('mordantly', [0.0, 1.0])
('crabby', [0.0, 1.0])
('goading', [0.0, 1.0])
('curses', [0.0, 1.0])
('winning', [1.0, 0.0])
('winners', [1.0, 0.0])
('corruptted', [0.0, 1.0])
('revives', [1.0, 0.0])
('fustigate', [0.0, 1.0])
('wonderously', [1.0, 0.0])
('outshone', [1.0, 0.0])
('cuss', [0.0, 1.0])
('multi-purpose', [1.0, 0.0])
('non-confidence', [0.0, 1.0])
('wows', [1.0, 0.0])
('heavy-handed', [0.0, 1.0])
('shimmeringly', [1.0, 0.0])
('nurturing', [1.0, 0.0])
('pompous', [0.0, 1.0])
('struggled', [0.0, 1.0])
('masters', [1.0, 0.0])
('hallmarks', [1.0, 0.0])
('measly', [0.0, 1.0])
('spoon-feed', [0.0, 1.0])
('irks', [0.0, 1.0])
('warned', [0.0, 1.0])
('eased', [1.0, 0.0])
('admonisher', [0.0, 1.0])
('commodious', [1.0, 0.0])
('satisified', [1.0, 0.0])
('dogmatic', [0.0, 1.0])
('monumentally', [1.0, 0.0])
('mislike', [0.0, 1.0])
('eases', [1.0, 0.0])
('illuminati', [1.0, 0.0])
('upliftingly', [1.0, 0.0])
('restructured', [1.0, 0.0])
('lesser-known', [0.0, 1.0])
('exceeded', [1.0, 0.0])
('jagged', [0.0, 1.0])
('viciously', [0.0, 1.0])
('bluring', [0.0, 1.0])
('gallant', [1.0, 0.0])
('lukewarm', [0.0, 1.0])
('confess', [0.0, 1.0])
('sufficed', [1.0, 0.0])
('shambles', [0.0, 1.0])
('disapointed', [0.0, 1.0])
('obsessive', [0.0, 1.0])
('occluding', [0.0, 1.0])
('achievements', [1.0, 0.0])
('promptly', [1.0, 0.0])
('sustainable', [1.0, 0.0])
('unipolar', [0.0, 1.0])
('heartbreaker', [0.0, 1.0])
('frigging', [0.0, 1.0])
('tempt', [1.0, 0.0])
('retards', [0.0, 1.0])
('drowning', [0.0, 1.0])
('overtake', [1.0, 0.0])
('sustainability', [1.0, 0.0])
('deprived', [0.0, 1.0])
('scars', [0.0, 1.0])
('irking', [0.0, 1.0])
('mesmerizes', [1.0, 0.0])
('cunts', [0.0, 1.0])
('temptingly', [1.0, 0.0])
('astutely', [1.0, 0.0])
('whooa', [1.0, 0.0])
('handier', [1.0, 0.0])
('finest', [1.0, 0.0])
('obscurity', [0.0, 1.0])
('succeeds', [1.0, 0.0])
('backaching', [0.0, 1.0])
('betrays', [0.0, 1.0])
('improving', [1.0, 0.0])
('rectifying', [1.0, 0.0])
('improvements', [1.0, 0.0])
('funnily', [0.0, 1.0])
('lagging', [0.0, 1.0])
('frazzle', [0.0, 1.0])
('stringently', [0.0, 1.0])
('droop', [0.0, 1.0])
('unspecified', [0.0, 1.0])
('enticed', [1.0, 0.0])
('declines', [0.0, 1.0])
('messing', [0.0, 1.0])
('terribleness', [0.0, 1.0])
('misinformed', [0.0, 1.0])
('misunderstood', [0.0, 1.0])
('interests', [1.0, 0.0])
('agonies', [0.0, 1.0])
('smolder', [0.0, 1.0])
('deteriorating', [0.0, 1.0])
('vouch', [1.0, 0.0])
('absent-minded', [0.0, 1.0])
('disrespectablity', [0.0, 1.0])
('reaffirm', [1.0, 0.0])
('overwhelming', [0.0, 1.0])
('bashed', [0.0, 1.0])
('succeeded', [1.0, 0.0])
('anti-proliferation', [0.0, 1.0])
('aggressor', [0.0, 1.0])
('well-established', [1.0, 0.0])
('tortured', [0.0, 1.0])
('cartoonish', [0.0, 1.0])
('rollercoaster', [0.0, 1.0])
('snazzy', [1.0, 0.0])
('fastidiously', [0.0, 1.0])
('pluses', [1.0, 0.0])
('allergic', [0.0, 1.0])
('torrent', [0.0, 1.0])
('stymied', [0.0, 1.0])
('laughingstock', [0.0, 1.0])
('chivalrous', [1.0, 0.0])
('plasticky', [0.0, 1.0])
('disapointment', [0.0, 1.0])
('feature-rich', [1.0, 0.0])
('blockbuster', [1.0, 0.0])
('assurances', [1.0, 0.0])
('misaligned', [0.0, 1.0])
('demolisher', [0.0, 1.0])
('well-educated', [1.0, 0.0])
('hegemonism', [0.0, 1.0])
('allergies', [0.0, 1.0])
('boastful', [0.0, 1.0])
('brilliances', [1.0, 0.0])
('unbeatable', [1.0, 0.0])
('concerns', [0.0, 1.0])
('pretentiously', [0.0, 1.0])
('dissuasive', [0.0, 1.0])
('pickets', [0.0, 1.0])
('underlings', [0.0, 1.0])
('toughest', [1.0, 0.0])
('embroiled', [0.0, 1.0])
('savages', [0.0, 1.0])
('unleash', [0.0, 1.0])
('disappointments', [0.0, 1.0])
('better-known', [1.0, 0.0])
('brutalising', [0.0, 1.0])
('savaged', [0.0, 1.0])
('preposterously', [0.0, 1.0])
('misjudgment', [0.0, 1.0])
('starve', [0.0, 1.0])
('scrambles', [0.0, 1.0])
('appallingly', [0.0, 1.0])
('heartening', [1.0, 0.0])
('stronger', [1.0, 0.0])
('lawbreaker', [0.0, 1.0])
('inexorably', [0.0, 1.0])
('qualms', [0.0, 1.0])
('magnanimously', [1.0, 0.0])
('bigotries', [0.0, 1.0])
('banalize', [0.0, 1.0])
('supported', [1.0, 0.0])
('well-being', [1.0, 0.0])
('slanderer', [0.0, 1.0])
('disvalue', [0.0, 1.0])
('ripoff', [0.0, 1.0])
('reprehensibly', [0.0, 1.0])
('spilling', [0.0, 1.0])
('incompliant', [0.0, 1.0])
('inspiring', [1.0, 0.0])
('condemnable', [0.0, 1.0])
('idiocies', [0.0, 1.0])
('brighter', [1.0, 0.0])
('destabilisation', [0.0, 1.0])
('won', [1.0, 0.0])
('betrayals', [0.0, 1.0])
('catastrophies', [0.0, 1.0])
('sinisterly', [0.0, 1.0])
('head-aches', [0.0, 1.0])
('hassles', [0.0, 1.0])
('sued', [0.0, 1.0])
('harmed', [0.0, 1.0])
('crumbling', [0.0, 1.0])
('agreeableness', [1.0, 0.0])
('sues', [0.0, 1.0])
('hassled', [0.0, 1.0])
('forebodingly', [0.0, 1.0])
('troublingly', [0.0, 1.0])
('ghetto', [0.0, 1.0])
('upseting', [0.0, 1.0])
('eyecatch', [1.0, 0.0])
('dripped', [0.0, 1.0])
('extremists', [0.0, 1.0])
('streamlined', [1.0, 0.0])
('shortchange', [0.0, 1.0])
('monstrosities', [0.0, 1.0])
('futuristic', [1.0, 0.0])
('enhances', [1.0, 0.0])
('low-rated', [0.0, 1.0])
('accuses', [0.0, 1.0])
('subsidizing', [1.0, 0.0])
('showdown', [0.0, 1.0])
('admonition', [0.0, 1.0])
('inexplainable', [0.0, 1.0])
('unfairly', [0.0, 1.0])
('rifts', [0.0, 1.0])
('righteously', [1.0, 0.0])
('luckiest', [1.0, 0.0])
('dungeon', [0.0, 1.0])
('insulting', [0.0, 1.0])
('reform', [1.0, 0.0])
('frustrates', [0.0, 1.0])
('junky', [0.0, 1.0])
('maneuverable', [1.0, 0.0])
('scathingly', [0.0, 1.0])
('difficulties', [0.0, 1.0])
('taunting', [0.0, 1.0])
('smelled', [0.0, 1.0])
('believeable', [1.0, 0.0])
('smilingly', [1.0, 0.0])
('douchbag', [0.0, 1.0])
('sorely', [0.0, 1.0])
('stellarly', [1.0, 0.0])
('laid-off', [0.0, 1.0])
('obsessiveness', [0.0, 1.0])
('calamitously', [0.0, 1.0])
('barbarously', [0.0, 1.0])
('refuting', [0.0, 1.0])
('proficiently', [1.0, 0.0])
('stutters', [0.0, 1.0])
('donside', [0.0, 1.0])
('declining', [0.0, 1.0])
('flatteringly', [1.0, 0.0])
('sharply', [0.0, 1.0])
('limits', [0.0, 1.0])
('galore', [1.0, 0.0])
('insociable', [0.0, 1.0])
('darker', [0.0, 1.0])
('propagandize', [0.0, 1.0])
('unconvincing', [0.0, 1.0])
('inflammatory', [0.0, 1.0])
('spewed', [0.0, 1.0])
('diligently', [1.0, 0.0])
('narrower', [0.0, 1.0])
('accursed', [0.0, 1.0])
('instigators', [0.0, 1.0])
('yay', [1.0, 0.0])
('propitiously', [1.0, 0.0])
('wonderous', [1.0, 0.0])
('bleakly', [0.0, 1.0])
('bewildering', [0.0, 1.0])
('hottest', [1.0, 0.0])
('uproarous', [0.0, 1.0])
('intefere', [0.0, 1.0])
('slumping', [0.0, 1.0])
('fibber', [0.0, 1.0])
('f**k', [0.0, 1.0])
('jaded', [0.0, 1.0])
('overwhelmingly', [0.0, 1.0])
('injustices', [0.0, 1.0])
('overture', [1.0, 0.0])
('upsets', [0.0, 1.0])
('unmoved', [0.0, 1.0])
('sourly', [0.0, 1.0])
('pandemonium', [0.0, 1.0])
('harden', [0.0, 1.0])
('remorselessly', [0.0, 1.0])
('dead-cheap', [1.0, 0.0])
('supurb', [1.0, 0.0])
('exorbitantance', [0.0, 1.0])
('amenity', [1.0, 0.0])
('layoff', [0.0, 1.0])
('dissent', [0.0, 1.0])
('delaying', [0.0, 1.0])
('drips', [0.0, 1.0])
('immoderately', [0.0, 1.0])
('excessively', [0.0, 1.0])
('ominously', [0.0, 1.0])
('odder', [0.0, 1.0])
('tumbled', [0.0, 1.0])
('unfaithfully', [0.0, 1.0])
('exagerates', [0.0, 1.0])
('indistinguishable', [0.0, 1.0])
('stupified', [0.0, 1.0])
('exagerated', [0.0, 1.0])
('sugar-coated', [0.0, 1.0])
('devastated', [0.0, 1.0])
('soundness', [1.0, 0.0])
('fanatics', [0.0, 1.0])
('privileged', [1.0, 0.0])
('last-ditch', [0.0, 1.0])
('conflicting', [0.0, 1.0])
('prickles', [0.0, 1.0])
('hardliner', [0.0, 1.0])
('effusively', [1.0, 0.0])
('complemented', [1.0, 0.0])
('stumbled', [0.0, 1.0])
('amicability', [1.0, 0.0])
('exceeds', [1.0, 0.0])
('sagged', [0.0, 1.0])
('acerbically', [0.0, 1.0])
('impeccable', [1.0, 0.0])
('light-hearted', [1.0, 0.0])
('steals', [0.0, 1.0])
('rift', [0.0, 1.0])
('obstructs', [0.0, 1.0])
('distraughtness', [0.0, 1.0])
('raping', [0.0, 1.0])
('pampered', [1.0, 0.0])
('freshest', [1.0, 0.0])
('insurmountably', [0.0, 1.0])
('sueing', [0.0, 1.0])
('exceedingly', [1.0, 0.0])
('catastrophically', [0.0, 1.0])
('onerously', [0.0, 1.0])
('user-friendly', [1.0, 0.0])
('poisonously', [0.0, 1.0])
('restructure', [1.0, 0.0])
('ill-tempered', [0.0, 1.0])
('dissatisfying', [0.0, 1.0])
('mistaken', [0.0, 1.0])
('back-woods', [0.0, 1.0])
('mistakes', [0.0, 1.0])
('miserableness', [0.0, 1.0])
('fat-cats', [0.0, 1.0])
('hypocritically', [0.0, 1.0])
('roomy', [1.0, 0.0])
('reaffirmation', [1.0, 0.0])
('sagely', [1.0, 0.0])
('run-down', [0.0, 1.0])
('avidly', [1.0, 0.0])
('squabbling', [0.0, 1.0])
('stressfully', [0.0, 1.0])
('rattles', [0.0, 1.0])
('confusions', [0.0, 1.0])
('uncompromisingly', [0.0, 1.0])
('wimpy', [0.0, 1.0])
('reformed', [1.0, 0.0])
('stumbles', [0.0, 1.0])
('second-tier', [0.0, 1.0])
('thoughtlessly', [0.0, 1.0])
('famously', [1.0, 0.0])
('crushed', [0.0, 1.0])
('suspiciously', [0.0, 1.0])
('idyllic', [1.0, 0.0])
('miraculousness', [1.0, 0.0])
('hypocricy', [0.0, 1.0])
('amply', [1.0, 0.0])
('irrecoverableness', [0.0, 1.0])
('accomodative', [1.0, 0.0])
('displaced', [0.0, 1.0])
('like', [1.0, 0.0])
('hands-down', [1.0, 0.0])
('loses', [0.0, 1.0])
('tauntingly', [0.0, 1.0])
('wonders', [1.0, 0.0])
('razor-sharp', [1.0, 0.0])
('crazily', [0.0, 1.0])
('smoothly', [1.0, 0.0])
('streaky', [0.0, 1.0])
('recommendation', [1.0, 0.0])
('hissing', [0.0, 1.0])
('cruelest', [0.0, 1.0])
('breakthroughs', [1.0, 0.0])
('civilize', [1.0, 0.0])
('unsupportive', [0.0, 1.0])
('appreciative', [1.0, 0.0])
('screwed', [0.0, 1.0])
('impolitely', [0.0, 1.0])
('ironies', [0.0, 1.0])
('rip-off', [0.0, 1.0])
('limitations', [0.0, 1.0])
('slooow', [0.0, 1.0])
('stellar', [1.0, 0.0])
('pepped', [1.0, 0.0])
('dented', [0.0, 1.0])
('problem-free', [1.0, 0.0])
('baffling', [0.0, 1.0])
('misbecoming', [0.0, 1.0])
('jobless', [0.0, 1.0])
('gained', [1.0, 0.0])
('stereotypically', [0.0, 1.0])
('accessable', [1.0, 0.0])
('smartly', [1.0, 0.0])
('mind-blowing', [1.0, 0.0])
('flake', [0.0, 1.0])
('maladjustment', [0.0, 1.0])
('ingrate', [0.0, 1.0])
('high-priced', [0.0, 1.0])
('villify', [0.0, 1.0])
('unsustainable', [0.0, 1.0])
('hotcake', [1.0, 0.0])
('obliterated', [0.0, 1.0])
('loner', [0.0, 1.0])
('chronic', [0.0, 1.0])
('cancerous', [0.0, 1.0])
('champ', [1.0, 0.0])
('tin-y', [0.0, 1.0])
('brilliantly', [1.0, 0.0])
('wack', [0.0, 1.0])
('godsend', [1.0, 0.0])
('fastest-growing', [1.0, 0.0])
('lagged', [0.0, 1.0])
('hurted', [0.0, 1.0])
('awarded', [1.0, 0.0])
('upliftment', [1.0, 0.0])
('delusions', [0.0, 1.0])
('touted', [0.0, 1.0])
('earsplitting', [0.0, 1.0])
('corrosions', [0.0, 1.0])
('amity', [1.0, 0.0])
('villains', [0.0, 1.0])
('neurotically', [0.0, 1.0])
('exaltingly', [1.0, 0.0])
('wretchedly', [0.0, 1.0])
('instructive', [1.0, 0.0])
('protesting', [0.0, 1.0])
('mists', [0.0, 1.0])
('jealousness', [0.0, 1.0])
('desititute', [0.0, 1.0])
('scoffingly', [0.0, 1.0])
('windfall', [1.0, 0.0])
('travesties', [0.0, 1.0])
('examplar', [1.0, 0.0])
('excruciatingly', [0.0, 1.0])
('gnawing', [0.0, 1.0])
('pig', [0.0, 1.0])
('troublesomely', [0.0, 1.0])
('unwatchable', [0.0, 1.0])
('mysteriously', [0.0, 1.0])
('renowned', [1.0, 0.0])
('rumors', [0.0, 1.0])
('incorrigibly', [0.0, 1.0])
('demonize', [0.0, 1.0])
('insightfully', [1.0, 0.0])
('immobilized', [0.0, 1.0])
('evildoer', [0.0, 1.0])
('crummy', [0.0, 1.0])
('stumps', [0.0, 1.0])
('misconceptions', [0.0, 1.0])
('long-time', [0.0, 1.0])
('overwhelms', [0.0, 1.0])
('incredibly', [1.0, 0.0])
('illegally', [0.0, 1.0])
('blunders', [0.0, 1.0])
